comment_id,cleaned_text,token_count
72,baca di sini libur sekolah membuat operasional dapur program makan bergizi gratis mbg ikut dihentikan sementara hingga juli akibatnya puluhan relawan satuan pelayanan pemenuhan gizi sppg di kota malang kehilangan pekerjaan harian dan harus,32
73,karena baru sekarang semenjak nkri berdiri presiden membuat program mbg makan bergizi gratis untuk rakyat senkri mbg program paling mulia,24
74,baca di sini sejumlah harga bahan kebutuhan pokok di kabupaten buleleng bali mengalami penurunan saat program makan bergizi gratis mbg libur farah ferbiliana ibu rumah tangga asal desa sambangan kecamatan sukasada buleleng menyebut harga daging,24
75,harga daging ayam potong dan telur ayam ras di pasar basah trenggalek mengalami penurunan dalam beberapa pekan terakhir pedagang menilai turunnya harga dipengaruhi liburnya pelaksanaan program makan bergizi gratis mbg,24
76,makan bergizi ga gratis karna dari dm gw,24
77,narasi pembenci bilang pidatonya nggak realistis atau populis faktanya program seperti mbg makan bergizi gratis dirancang nyata untuk menguntungkan para petani lokal kita sektor arus bawah langsung bergerak,24
78,ngerasain makan bergizi dan gratis karena boleh dikasih,24
79,wakil ketua dpr ri saan mustopa meminta badan gizi nasional bgn untuk memaksimalkan penyerapan hasil produksi para petani hingga produkproduk usaha mikro kecil dan menengah umkm untuk program makan bergizi gratis mbg,20
80,makan bergizi gratis mbg dan koperasi desa merah putih kdmp hingga buruknya tata kelola regulasi yang tumpang tindih dan penuh dengan ketidakpastian hukum,19
81,anak muda nabire ciptakan siapmbg sistem monitoring realtime canggih untuk makan bergizi gratis ini papua maju,13
82,jadi ada sebuah diskusi menarik minggu ini pdip diserang habis oleh golkar demokrat dan pkb momen ini berlanjut ke podkas milik akbar faisal dalam diskusi tersebut politisi partai golkar asal dapil sumatera utara iii ahmad doli kurnia dan politisi partai,19
83,makan bergizi gratis bukan sekadar bantuan tapi investasi jangka panjang untuk mencetak generasi sehat cerdas dan tangguh demi indonesia maju,26
84,makan bergizi gratis bukan sekadar bantuan tapi investasi jangka panjang untuk mencetak generasi sehat cerdas dan tangguh demi indonesia maju,26
85,makan bergizi gratis bukan sekadar bantuan tapi investasi jangka panjang untuk mencetak generasi sehat cerdas dan tangguh demi indonesia maju,27
86,ketika generasi muda ikut menciptakan solusi melalui teknologi manfaatnya bisa dirasakan lebih luas inovasi monitoring real time untuk program makan bergizi gratis menjadi contoh kolaborasi yang membanggakan demi mewujudkan papua maju,26
